open,high,low,close,volume,EMA_FAST,EMA_SLOW,MACD,RSI,BB_MIDDLE,BB_UPPER,BB_LOWER,ADX,STOCH,MFI,VOL,OBV,ATR,score,score_details,score_signal,Asset
64512.0,64873.61,64350.0,64764.93,804.0882,,,,,,,,,,,,,,0.0,[],0,BTCUSDT
64764.93,64974.0,64649.96,64660.01,932.49056,,,,,,,,,,,,-932.49056,,0.0,[],0,BTCUSDT
64660.01,64940.01,64118.6,64846.0,2278.09126,,,,,,,,,,,,1345.6007000000002,,0.0,[],0,BTCUSDT
64846.0,65524.01,64558.15,65229.99,2709.88702,,,,,,,,,,,,4055.48772,,0.0,[],0,BTCUSDT
65229.99,65366.01,63102.0,63157.95,4724.50891,,,,,,,,,,,,-669.0211899999995,,0.0,[],0,BTCUSDT
63157.95,63636.46,62432.9,63416.01,4670.33215,,,,,,,,,,,,4001.3109600000007,,0.0,[],0,BTCUSDT
63416.0,63611.24,62964.41,63307.38,1657.67588,,,,,,,,,,,2539.5819971428573,2343.635080000001,,0.0,[],0,BTCUSDT
63307.39,63456.01,63066.0,63098.01,743.54298,,,,,,,,,,,2530.9326800000003,1600.092100000001,,0.0,[],0,BTCUSDT
63098.01,63220.0,62784.0,62898.25,1026.49958,,,,,,,,,,,2544.3625399999996,573.5925200000011,,0.0,[],0,BTCUSDT
62898.24,62981.56,62515.0,62633.57,1627.26837,,,,,,,,,,,2451.3878414285714,-1053.675849999999,,0.0,[],0,BTCUSDT
62633.58,63187.26,62088.0,62622.01,2476.71591,,,,,,,,,,,2418.077682857143,-3530.3917599999986,,0.0,[],0,BTCUSDT
62622.01,62736.01,61286.54,61987.01,2830.77006,63056.58344329069,,,,,,,,,,2147.5435614285716,-6361.161819999998,,0.0,[],0,BTCUSDT
61987.02,62250.0,61230.01,61386.01,1492.72604,62766.50842931397,,,,,,,,,,1693.5998314285714,-7853.887859999999,,0.0,[],0,BTCUSDT
61386.01,61782.0,61311.0,61498.33,1293.60445,62550.57813346659,,,,,,,862.9721428571429,6.248719142988756,18.967968880410982,1641.5896271428571,-6560.283409999999,862.9721428571429,0.5,"['ADX (862.97) im Trigger [20, 999]']",0,BTCUSDT
61498.34,61725.78,60903.0,61132.01,2158.32562,62312.94368607198,,,17.05515775418077,,,,884.341428571417,4.955842986705338,17.671247790786968,1843.7014328571427,-8718.60903,884.3414285714285,0.5,"['ADX (884.34) im Trigger [20, 999]']",0,BTCUSDT
61132.01,61390.12,60505.0,61342.01,2498.20118,62152.489239068644,,,20.473702195466842,,,,924.4185714285632,16.676794826067987,13.886445439549412,2053.9445185714285,-6220.40785,924.4185714285715,0.5,"['ADX (924.42) im Trigger [20, 999]']",0,BTCUSDT
61342.01,61614.0,61217.99,61450.01,1235.71624,62037.70884897877,,,19.354308908705036,,,,894.0328571428545,18.828613611047064,18.27650474461034,1998.0085,-4984.69161,894.0328571428571,0.5,"['ADX (894.03) im Trigger [20, 999]']",0,BTCUSDT
61450.01,61975.0,61310.9,61895.99,1165.23343,62014.77192261399,,,20.246594511186814,,,,872.4785714285681,28.6152466256953,13.660856011623068,1810.6538600000001,-3819.4581799999996,872.4785714285712,0.5,"['ADX (872.48) im Trigger [20, 999]']",0,BTCUSDT
61895.99,61981.43,61398.01,61566.25,674.61075,61942.75577119995,,,29.38436750394743,,,,752.4364285714255,33.88994271041819,15.89631375543997,1502.6311014285714,-4494.068929999999,752.4364285714281,0.5,"['ADX (752.44) im Trigger [20, 999]']",0,BTCUSDT
61566.26,61720.34,61512.0,61693.99,369.59368,61903.07963248222,,,26.917240824541636,62729.286,65360.359965068055,60098.212034931945,681.3492857142846,38.27746729163284,19.179800965294103,1342.1836214285715,-4124.4752499999995,681.3492857142852,0.5,"['ADX (681.35) im Trigger [20, 999]']",0,BTCUSDT
61694.0,61847.11,61674.69,61827.89,391.96603,61891.154816262104,,,30.30167466842832,62582.43400000001,65058.40150050434,60106.46649949568,647.4628571428548,44.82838079164592,13.907400492468486,1213.3781328571429,-3732.5092199999995,647.4628571428568,0.5,"['ADX (647.46) im Trigger [20, 999]']",0,BTCUSDT
61827.89,61906.37,61618.7,61662.01,591.46276,61854.98505984844,,,30.65670226396614,62432.53400000001,64735.89217338991,60129.1758266101,640.1528571428571,42.615469613244045,14.026295079278146,989.5405814285714,-4323.971979999999,640.1528571428571,0.5,"['ADX (640.15) im Trigger [20, 999]']",0,BTCUSDT
61662.02,61740.6,61480.0,61629.68,536.12938,61819.56310405555,,,32.104839960939046,62271.71800000001,64298.042146715445,60245.39385328457,627.6242857142934,41.93031249765422,14.39720881555946,709.24461,-4860.10136,627.6242857142855,0.5,"['ADX (627.62) im Trigger [20, 999]']",0,BTCUSDT
61629.68,61749.07,61457.89,61735.99,468.75911,61806.468079428494,,,36.7460308083345,62097.018000000004,63578.74386532837,60615.29213467164,615.0971428571429,45.89376123118333,17.911779768063322,599.6793057142858,-4391.34225,615.0971428571429,0.5,"['ADX (615.10) im Trigger [20, 999]']",0,BTCUSDT
